Scorer	Evaluation	Movie_Id	Review_Id	Sentiment	pcount	ncount	pscore	nscore	positivity	negativity
NoTaggerSWN	Right	9	40	Thumbs DOWN	39	24	6.567701430135422	-4.756118950595175	0.16840260077270314	-0.19817162294146562
NoTaggerSWN	Right	5	25	Thumbs UP	83	39	19.600897674548488	-6.460895467350862	0.2361553936692589	-0.1656639863423298
NoTaggerSWN	Right	5	21	Thumbs UP	53	24	13.407589683801872	-2.785382843572428	0.25297339026041266	-0.1160576184821845
NoTaggerSWN	Right	4	17	Thumbs DOWN	41	29	7.003594409778383	-5.817577535075217	0.17081937584825324	-0.20060612189914542
NoTaggerSWN	Right	6	27	Thumbs DOWN	37	28	7.616452767081841	-6.10673706864211	0.2058500747859957	-0.21809775245150392
NoTaggerSWN	Right	3	15	Thumbs UP	106	55	22.757094081721704	-9.951888462585378	0.2146895668086953	-0.18094342659246143
NoTaggerSWN	Right	10	48	Thumbs UP	60	34	9.3861281328368	-2.7711463585574716	0.15643546888061335	-0.08150430466345504
NoTaggerSWN	Right	1	1	Thumbs DOWN	50	32	11.359108251227877	-8.435991628202126	0.22718216502455754	-0.26362473838131645
NoTaggerSWN	Right	1	3	Thumbs DOWN	69	50	10.933971172122869	-10.254255189788235	0.15846335032062128	-0.20508510379576472
NoTaggerSWN	Right	3	13	Thumbs UP	153	76	31.39554993202228	-14.675865299762089	0.20519967275831555	-0.19310349078634328
NoTaggerSWN	Right	1	2	Thumbs DOWN	120	85	23.589736300572323	-20.614199404687213	0.1965811358381027	-0.24251999299632016
NoTaggerSWN	Right	7	33	Thumbs UP	67	40	12.592364547119908	-5.363517389858726	0.18794573950925236	-0.13408793474646813
NoTaggerSWN	Right	6	29	Thumbs UP	63	33	13.244639267439966	-4.491254197295949	0.21023236932444392	-0.13609861203927118
NoTaggerSWN	Right	1	5	Thumbs DOWN	85	59	14.514285145754611	-13.587622281239009	0.1707562958324072	-0.23029868273286455
NoTaggerSWN	Right	1	4	Thumbs DOWN	33	36	6.035553471116299	-6.860121691012732	0.18289555973079694	-0.19055893586146477
NoTaggerSWN	Right	7	31	Thumbs DOWN	77	54	14.96685856936858	-11.441510710468643	0.19437478661517635	-0.21187982797164154
NoTaggerSWN	Right	2	9	Thumbs UP	58	36	11.960919862919463	-3.9640432747854306	0.2062227562572321	-0.11011231318848419
NoTaggerSWN	Right	8	36	Thumbs UP	50	25	9.407570255605599	-3.616808681035698	0.18815140511211198	-0.1446723472414279
NoTaggerSWN	Right	4	20	Thumbs DOWN	74	75	8.703133083532974	-16.305530626478642	0.11760990653422937	-0.21740707501971523
NoTaggerSWN	Right	2	6	Thumbs DOWN	87	50	15.677716918224347	-9.328465570165324	0.18020364273821088	-0.1865693114033065
NoTaggerSWN	Right	2	7	Thumbs DOWN	79	57	14.203758811547397	-12.103565597393063	0.179794415336043	-0.21234325609461513
NoTaggerSWN	Wrong	9	41	Thumbs UP	25	21	3.8738651571291465	-2.9012674394762596	0.15495460628516586	-0.13815559235601235
NoTaggerSWN	Wrong	9	42	Thumbs UP	70	48	13.830533216179505	-6.104372402756437	0.1975790459454215	-0.12717442505742577
NoTaggerSWN	Wrong	9	43	Thumbs UP	69	41	12.764249438240046	-7.567623100946103	0.184989122293334	-0.1845761731938074
NoTaggerSWN	Wrong	9	44	Thumbs UP	46	27	8.823919411011941	-2.7415730113943066	0.19182433502199872	-0.10153974116275209
NoTaggerSWN	Wrong	2	10	Thumbs UP	55	44	9.607861639090087	-7.426043830994491	0.17468839343800158	-0.16877372343169297
NoTaggerSWN	Wrong	3	14	Thumbs DOWN	93	43	17.197024603644273	-9.090138960008261	0.18491424304993842	-0.2113985804653084
NoTaggerSWN	Wrong	3	11	Thumbs DOWN	75	65	15.983605835826236	-14.057602079468552	0.21311474447768314	-0.2162708012225931
NoTaggerSWN	Wrong	3	12	Thumbs UP	70	48	13.209705161522415	-8.951762585758205	0.1887100737360345	-0.1864950538699626
NoTaggerSWN	Wrong	6	30	Thumbs UP	98	43	16.059214509095547	-6.413122566081208	0.16386953580709743	-0.14914238525770251
NoTaggerSWN	Wrong	2	8	Thumbs UP	90	48	19.797323715088304	-9.553530162610917	0.21997026350098114	-0.19903187838772743
NoTaggerSWN	Wrong	5	24	Thumbs UP	92	43	24.63075613284207	-5.924218232544925	0.26772561013958773	-0.1377725170359285
NoTaggerSWN	Wrong	5	22	Thumbs DOWN	77	29	18.61583916646317	-7.1223933418723036	0.24176414501900223	-0.24559977040938977
NoTaggerSWN	Wrong	4	18	Thumbs UP	57	44	8.919931979756191	-5.653281692460956	0.15649003473256476	-0.12848367482865808
NoTaggerSWN	Wrong	5	23	Thumbs UP	107	82	19.84014112200289	-14.35417578742551	0.18542187964488682	-0.17505092423689644
NoTaggerSWN	Wrong	4	19	Thumbs UP	74	63	16.85161265931736	-13.27627343275051	0.22772449539618056	-0.21073449893254778
NoTaggerSWN	Wrong	4	16	Thumbs UP	65	55	12.952956651280179	-10.871875322734597	0.19927625617354122	-0.1976704604133563
NoTaggerSWN	Wrong	6	28	Thumbs UP	70	44	12.371705151222649	-6.8222854861225075	0.17673864501746642	-0.15505194286642063
NoTaggerSWN	Wrong	6	26	Thumbs UP	35	32	9.195154284919225	-5.49263883844087	0.262718693854835	-0.1716449637012772
NoTaggerSWN	Wrong	10	49	Thumbs UP	112	58	24.163268997308922	-8.454187806612524	0.21574347319025824	-0.14576185873469868
NoTaggerSWN	Wrong	10	46	Thumbs UP	151	74	30.083777930057007	-12.60689348476428	0.19923031741759606	-0.17036342546978755
